seed,diff_likelihood,diff_standard,homosexual,m_inpool,f_inpool,m_outpool,f_outpool,m_exp_all,f_exp_all,m_exp_ip,f_exp_ip,m_partner_all,f_partner_all,m_partner_ip,f_partner_ip,lt_likelihood
638339873,1,0,0,42,41,108,109,0.7666666666666667,0.7666666666666667,2.738095238095238,2.8048780487804876,0.47333333333333333,0.47333333333333333,1.6904761904761905,1.7317073170731707,6
708883919,1,0,0,56,51,94,99,0.8733333333333333,0.8733333333333333,2.3392857142857144,2.5686274509803924,0.58,0.58,1.5535714285714286,1.7058823529411764,6
660398622,1,0,0,56,43,94,107,0.84,0.84,2.25,2.9302325581395348,0.5133333333333333,0.5133333333333333,1.375,1.7906976744186047,6
1845398621,1,0,0,51,57,99,93,1.1133333333333333,1.1133333333333333,3.2745098039215685,2.9298245614035086,0.6733333333333333,0.6733333333333333,1.9803921568627452,1.7719298245614035,6
-1632355969,1,0,0,41,57,109,93,1.04,1.04,3.8048780487804876,2.736842105263158,0.5333333333333333,0.5333333333333333,1.951219512195122,1.4035087719298245,6
228437057,1,0,0,50,54,100,96,1.16,1.16,3.48,3.2222222222222223,0.6,0.6,1.8,1.6666666666666667,6
1991561808,1,0,0,54,60,96,90,1.1066666666666667,1.1066666666666667,3.074074074074074,2.7666666666666666,0.72,0.72,2,1.8,6
-1386051083,1,0,0,32,37,118,113,0.5466666666666666,0.5466666666666666,2.5625,2.2162162162162162,0.34,0.34,1.59375,1.3783783783783783,6
586095059,1,0,0,48,54,102,96,0.8666666666666667,0.8666666666666667,2.7083333333333335,2.4074074074074074,0.58,0.58,1.8125,1.6111111111111112,6
779635987,1,0,0,56,60,94,90,1.1,1.1,2.9464285714285716,2.75,0.7266666666666667,0.7266666666666667,1.9464285714285714,1.8166666666666667,6
-867536301,1,0,0,50,51,100,99,0.9666666666666667,0.9666666666666667,2.9,2.843137254901961,0.54,0.54,1.62,1.588235294117647,6
-1577865244,1,0,0,54,64,96,86,1.3733333333333333,1.3733333333333333,3.814814814814815,3.21875,0.76,0.76,2.111111111111111,1.78125,6
-783306797,1,0,0,53,54,97,96,1.0266666666666666,1.0266666666666666,2.9056603773584904,2.8518518518518516,0.6533333333333333,0.6533333333333333,1.849056603773585,1.8148148148148149,6
-1705102220,1,0,0,38,42,112,108,0.7666666666666667,0.7666666666666667,3.026315789473684,2.738095238095238,0.4066666666666667,0.4066666666666667,1.605263157894737,1.4523809523809523,6
712745228,1,0,0,59,54,91,96,1.0666666666666667,1.0666666666666667,2.711864406779661,2.962962962962963,0.64,0.64,1.6271186440677967,1.7777777777777777,6
-1321182076,1,0,0,40,40,110,110,0.82,0.82,3.075,3.075,0.4533333333333333,0.4533333333333333,1.7,1.7,6
1319316763,1,0,0,49,47,101,103,0.96,0.96,2.938775510204082,3.0638297872340425,0.5333333333333333,0.5333333333333333,1.6326530612244898,1.702127659574468,6
544464150,1,0,0,32,38,118,112,0.44666666666666666,0.44666666666666666,2.09375,1.763157894736842,0.35333333333333333,0.35333333333333333,1.65625,1.394736842105263,6
134455164,1,0,0,56,56,94,94,1.0266666666666666,1.0266666666666666,2.75,2.75,0.6733333333333333,0.6733333333333333,1.8035714285714286,1.8035714285714286,6
-1924461997,1,0,0,52,44,98,106,0.8933333333333333,0.8933333333333333,2.576923076923077,3.0454545454545454,0.5866666666666667,0.5866666666666667,1.6923076923076923,2,6
2118700865,1,0,0,39,40,111,110,0.86,0.86,3.3076923076923075,3.225,0.46,0.46,1.7692307692307692,1.725,6
1826023731,1,0,0,57,55,93,95,1.0266666666666666,1.0266666666666666,2.7017543859649122,2.8,0.6733333333333333,0.6733333333333333,1.7719298245614035,1.8363636363636364,6
1921542838,1,0,0,47,52,103,98,0.96,0.96,3.0638297872340425,2.769230769230769,0.54,0.54,1.7234042553191489,1.5576923076923077,6
-1097024048,1,0,0,47,42,103,108,0.7533333333333333,0.7533333333333333,2.404255319148936,2.6904761904761907,0.5,0.5,1.5957446808510638,1.7857142857142858,6
-868819348,1,0,0,59,57,91,93,1.2,1.2,3.0508474576271185,3.1578947368421053,0.7333333333333333,0.7333333333333333,1.8644067796610169,1.9298245614035088,6
-2125010133,1,0,0,44,53,106,97,0.8133333333333334,0.8133333333333334,2.772727272727273,2.30188679245283,0.56,0.56,1.9090909090909092,1.5849056603773586,6
-1133247917,1,0,0,46,54,104,96,1.3733333333333333,1.3733333333333333,4.478260869565218,3.814814814814815,0.6866666666666666,0.6866666666666666,2.239130434782609,1.9074074074074074,6
106020944,1,0,0,56,50,94,100,1.06,1.06,2.8392857142857144,3.18,0.6266666666666667,0.6266666666666667,1.6785714285714286,1.88,6
1179756421,1,0,0,44,44,106,106,0.9066666666666666,0.9066666666666666,3.090909090909091,3.090909090909091,0.5133333333333333,0.5133333333333333,1.75,1.75,6
-1108704623,1,0,0,43,47,107,103,0.68,0.68,2.372093023255814,2.1702127659574466,0.47333333333333333,0.47333333333333333,1.6511627906976745,1.5106382978723405,6
1509259278,1,0,0,50,43,100,107,0.72,0.72,2.16,2.511627906976744,0.49333333333333335,0.49333333333333335,1.48,1.7209302325581395,6
1086125187,1,0,0,47,40,103,110,0.7733333333333333,0.7733333333333333,2.4680851063829787,2.9,0.46,0.46,1.4680851063829787,1.725,6
1828400143,1,0,0,47,52,103,98,1.1133333333333333,1.1133333333333333,3.5531914893617023,3.2115384615384617,0.5933333333333334,0.5933333333333334,1.8936170212765957,1.7115384615384615,6
-259044285,1,0,0,49,54,101,96,0.76,0.76,2.326530612244898,2.111111111111111,0.5866666666666667,0.5866666666666667,1.7959183673469388,1.6296296296296295,6
-1426602929,1,0,0,46,40,104,110,0.82,0.82,2.6739130434782608,3.075,0.5,0.5,1.6304347826086956,1.875,6
-890142343,1,0,0,51,52,99,98,1.0066666666666666,1.0066666666666666,2.9607843137254903,2.9038461538461537,0.6133333333333333,0.6133333333333333,1.803921568627451,1.7692307692307692,6
-1857367392,1,0,0,45,44,105,106,0.8333333333333334,0.8333333333333334,2.7777777777777777,2.840909090909091,0.47333333333333333,0.47333333333333333,1.5777777777777777,1.6136363636363635,6
-797531700,1,0,0,42,45,108,105,0.9266666666666666,0.9266666666666666,3.3095238095238093,3.088888888888889,0.4266666666666667,0.4266666666666667,1.5238095238095237,1.4222222222222223,6
1547105766,1,0,0,44,45,106,105,0.88,0.88,3,2.933333333333333,0.46,0.46,1.5681818181818181,1.5333333333333334,6
1736766900,1,0,0,51,51,99,99,0.88,0.88,2.588235294117647,2.588235294117647,0.6266666666666667,0.6266666666666667,1.8431372549019607,1.8431372549019607,6
1516152666,1,0,0,56,56,94,94,1.2133333333333334,1.2133333333333334,3.25,3.25,0.6866666666666666,0.6866666666666666,1.8392857142857142,1.8392857142857142,6
2047203955,1,0,0,49,57,101,93,1.1333333333333333,1.1333333333333333,3.4693877551020407,2.982456140350877,0.6,0.6,1.836734693877551,1.5789473684210527,6
1577312318,1,0,0,37,40,113,110,0.5666666666666667,0.5666666666666667,2.2972972972972974,2.125,0.3933333333333333,0.3933333333333333,1.5945945945945945,1.475,6
522675565,1,0,0,62,70,88,80,1.56,1.56,3.774193548387097,3.342857142857143,0.94,0.94,2.274193548387097,2.0142857142857142,6
932602863,1,0,0,50,52,100,98,0.9866666666666667,0.9866666666666667,2.96,2.8461538461538463,0.62,0.62,1.86,1.7884615384615385,6
-1643643973,1,0,0,46,47,104,103,0.82,0.82,2.6739130434782608,2.617021276595745,0.5466666666666666,0.5466666666666666,1.7826086956521738,1.7446808510638299,6
-1699626682,1,0,0,53,66,97,84,1.2466666666666666,1.2466666666666666,3.5283018867924527,2.8333333333333335,0.7466666666666667,0.7466666666666667,2.1132075471698113,1.696969696969697,6
-1798056929,1,0,0,47,54,103,96,0.8866666666666667,0.8866666666666667,2.8297872340425534,2.462962962962963,0.58,0.58,1.851063829787234,1.6111111111111112,6
-1116113418,1,0,0,53,55,97,95,1.0333333333333334,1.0333333333333334,2.9245283018867925,2.8181818181818183,0.62,0.62,1.7547169811320755,1.690909090909091,6
-1220261992,1,0,0,43,47,107,103,0.68,0.68,2.372093023255814,2.1702127659574466,0.4533333333333333,0.4533333333333333,1.5813953488372092,1.446808510638298,6
1425290449,1,0,0,39,53,111,97,0.9266666666666666,0.9266666666666666,3.5641025641025643,2.6226415094339623,0.5133333333333333,0.5133333333333333,1.9743589743589745,1.4528301886792452,6
-2047428441,1,0,0,44,48,106,102,0.9533333333333334,0.9533333333333334,3.25,2.9791666666666665,0.49333333333333335,0.49333333333333335,1.6818181818181819,1.5416666666666667,6
1907993002,1,0,0,40,40,110,110,0.6333333333333333,0.6333333333333333,2.375,2.375,0.42,0.42,1.575,1.575,6
-1442024253,1,0,0,52,57,98,93,0.9533333333333334,0.9533333333333334,2.75,2.508771929824561,0.58,0.58,1.6730769230769231,1.5263157894736843,6
-1795022516,1,0,0,46,57,104,93,0.9866666666666667,0.9866666666666667,3.217391304347826,2.5964912280701755,0.5533333333333333,0.5533333333333333,1.8043478260869565,1.456140350877193,6
1463903455,1,0,0,51,59,99,91,1.18,1.18,3.4705882352941178,3,0.6533333333333333,0.6533333333333333,1.9215686274509804,1.6610169491525424,6
-485594220,1,0,0,40,37,110,113,0.5,0.5,1.875,2.027027027027027,0.32666666666666666,0.32666666666666666,1.225,1.3243243243243243,6
-1748682257,1,0,0,46,43,104,107,0.72,0.72,2.347826086956522,2.511627906976744,0.5066666666666667,0.5066666666666667,1.6521739130434783,1.7674418604651163,6
1300227641,1,0,0,70,63,80,87,1.7,1.7,3.642857142857143,4.0476190476190474,0.8466666666666667,0.8466666666666667,1.8142857142857143,2.015873015873016,6
1075188498,1,0,0,46,46,104,104,0.6866666666666666,0.6866666666666666,2.239130434782609,2.239130434782609,0.5333333333333333,0.5333333333333333,1.7391304347826086,1.7391304347826086,6
-2009271046,1,0,0,44,39,106,111,0.86,0.86,2.9318181818181817,3.3076923076923075,0.44666666666666666,0.44666666666666666,1.5227272727272727,1.7179487179487178,6
805461113,1,0,0,58,50,92,100,1.0066666666666666,1.0066666666666666,2.603448275862069,3.02,0.6133333333333333,0.6133333333333333,1.5862068965517242,1.84,6
688809933,1,0,0,54,47,96,103,1.1266666666666667,1.1266666666666667,3.1296296296296298,3.595744680851064,0.5733333333333334,0.5733333333333334,1.5925925925925926,1.8297872340425532,6
1436632359,1,0,0,56,56,94,94,1.2,1.2,3.2142857142857144,3.2142857142857144,0.6533333333333333,0.6533333333333333,1.75,1.75,6
